ds,yhat,yhat_lower,yhat_upper
2025-10-01,137,124.50577820246636,150.02449950264727
2026-03-01,185,172.60192445994568,198.6004037927423
2026-10-01,233,219.8256844856855,246.24708841239755
2027-03-01,262,249.28441633882926,275.85016172804245
2027-10-01,329,315.25765355176736,342.4890606606421
2028-03-01,267,254.7617564947725,280.46545525976103
